bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Grinding Of The Teeth x1.35,tech,stream tech,18,18.00,0.00,0.00
,The Fate of x1.425,stamina,light jumpstream,18,18.00,0.00,0.00
,Agoniya (Opium Remix)(theta) x1.1,speed,high stream,18,18.00,0.00,0.00
,Rip Me Apart(theta) x1.075,jack,dense chordjack,17.8,18.00,-0.20,0.20
,Exitium(eta),tech,stream tech,17.2,17.20,0.00,0.00
,Intersect Thunderbolt-Remix,speed,mid stream,17.2,16.40,0.80,0.80
,Torment Payback,jack,high chordjack,17.2,17.20,0.00,0.00
,Collapse of Ego,stamina,dense jumpstream,16.8,16.60,0.20,0.20
,Angel Dust (2016 Radio Mix)(zeta),jack,anchor chordjack,16.6,16.20,0.40,0.40
,northern limit(haku) x1.1,tech,stream tech,16.4,16.40,0.00,0.00
,Purgatorium(efv2) x1.14,tech,stream tech,16.4,16.60,-0.20,0.20
,Angel Dust(spz),stamina,light handstream,16.4,16.40,0.00,0.00
,Angel Dust (2016 Radio Mix)(zeta old),jack,high chordjack,16.4,16.40,0.00,0.00
,Nijuu(zeta),stamina,dense handstream,16.2,16.00,0.20,0.20
,Kizuato(efv3) x1.3,speed,staircase,16.2,16.00,0.20,0.20
,Apocalyptic Premonition x1.05,tech,stream tech,16,16.20,-0.20,0.20
,NEURO-CLOUD-9(efv3),tech,stream tech,16,16.00,0.00,0.00
,Senkou no Furea(haku) x1.25,stamina,dense handstream,16,15.60,0.40,0.40
,HIBACHI,speed,high stream,16,16.00,0.00,0.00
,Credens Justitiam(haku) x1.1,speed,mid stream,16,15.60,0.40,0.40
,Double Universe x1.2,jack,mid chordjack,16,16.40,-0.40,0.40
,Infinity Heaven(180bpm),jack,high chordjack,16,16.40,-0.40,0.40
,Runengon(efv3),stamina,dense handstream,15.7,15.80,-0.10,0.10
,Weird Autumn(spz) x1.4,tech,stream tech,15.6,16.00,-0.40,0.40
,Vertex Beta(spz cut),jack,mid chordjack,15.6,15.60,0.00,0.00
,Deadly force - Put an end,stamina,dense handstream,15.4,15.20,0.20,0.20
,Finixe(zeta) x1.1,speed,low stream,15.4,15.60,-0.20,0.20
,Forgotten[Collab(2015)] x1.4,tech,jack tech,15.2,15.00,0.20,0.20
,Matusa Bomber x1.3,tech,stream tech,15,15.20,-0.20,0.20
,Hitsugi to Futago x1.25,stamina,dense jumpstream,15,15.00,0.00,0.00
,Ash Statues(wafles)[Inhuman],stamina,dense jumpstream,15,14.80,0.20,0.20
,Mario Point[D-Another],speed,low stream,15,15.00,0.00,0.00
,Shuuten,speed,high stream,15,14.80,0.20,0.20
,crazy_tek (DJ Noriken Remix)(e9v3),jack,high chordjack,15,15.00,0.00,0.00
,Rose Quartz(epsilon) x1.3,jack,high chordjack,15,15.60,-0.60,0.60
,Nhelv(e9v3),tech,stream tech,14.8,15.00,-0.20,0.20
,Kimi to bokueno sousouka,speed,Unsigned,14.8,15.00,-0.20,0.20
,Shuu no hazama,tech,stream tech,14.7,14.80,-0.10,0.10
,Paradigm Shift(e8v2) x1.15,speed,low stream,14.7,14.60,0.10,0.10
,Ash Statues(rachel),stamina,dense jumpstream,14.6,14.60,0.00,0.00
,CRIMSON FIGHTER x1.15,stamina,dense handstream,14.6,14.60,0.00,0.00
,Amatsukami x1.15,speed,high stream,14.6,14.60,0.00,0.00
,Lalala.Refrain(sp7v2) x1.1,speed,mid stream,14.6,14.60,0.00,0.00
,Tactical Railroad(ATTang),speed,high stream,14.6,14.20,0.40,0.40
,Hayabusa(e8v3),jack,high chordjack,14.6,14.60,0.00,0.00
,Search And Destroy(Ena) x1.25,stamina,dense handstream,14.6,14.80,-0.20,0.20
3755310,Death Melody(e8v2) x1.25,stamina,dense handstream,14.5,14.60,-0.10,0.10
,Stay Alive (Zekk Remix) x1.25,speed,mid stream,14.5,14.60,-0.10,0.10
,Paraclete -Miracle,speed,low stream,14.5,14.60,-0.10,0.10
,Alpha,tech,stream tech,14.4,14.20,0.20,0.20
,Ankoku Butoukai,tech,mix tech,14.4,14.20,0.20,0.20
,Kaguyahime(mintapril) x1.2,tech,mix tech,14.4,14.20,0.20,0.20
,Heaven's Fall(e7v3) x1.4,stamina,dense handstream,14.4,14.00,0.40,0.40
,Ash Statues(wafles)[Passable],stamina,light jumpstream,14.4,14.20,0.20,0.20
,STRONG 280(11bit),stamina,dense handstream,14.4,14.40,0.00,0.00
,Pine Nut,speed,high stream,14.4,14.20,0.20,0.20
,LiFE Garden(e7v3) x1.05,jack,high chordjack,14.4,14.20,0.20,0.20
,Crescent Moon Boss Battle x1.05,tech,stream tech,14,14.00,0.00,0.00
,FUTURE DOMINATORS(delta) x1.3,stamina,dense handstream,14,14.00,0.00,0.00
,Quadraphinix x1.5,stamina,dense handstream,14,14.00,0.00,0.00
,Volcanic(delta),speed,high stream,14,14.20,-0.20,0.20
,STRONG 280(isxi),jack,dense chordjack,14,14.20,-0.20,0.20
,Aquaris(snover) x1.3,jack,low chordjack,14,14.20,-0.20,0.20
,Ascension to heaven(sp6v2) x0.975,speed,Unsigned,13.8,14.00,-0.20,0.20
,Nhelv(Guilhermeziat),tech,jack tech,13.6,13.60,0.00,0.00
,Shadows of Cats(tachyon) x1.2,tech,stream tech,13.6,14.20,-0.60,0.60
,The Empress(delta),stamina,dense handstream,13.6,13.20,0.40,0.40
,Nopea,speed,mid stream,13.6,13.60,0.00,0.00
,Pastel Subliminal,speed,Unsigned,13.5,13.60,-0.10,0.10
,Extraction,tech,Unsigned,13.4,13.60,-0.20,0.20
,Tornado [Devastation](interliser),tech,mix tech,13.4,13.20,0.20,0.20
,Cyber Inductance(tachyon) x1.4,stamina,dense jumpstream,13.4,13.20,0.20,0.20
3477045,Electric Angel(e5v3) x1.2,speed,high stream,13.4,13.20,0.20,0.20
,Angel Dust(tachyon),speed,high stream,13.4,13.20,0.20,0.20
,Defeat awaken battle ship,jack,high chordjack,13.4,13.60,-0.20,0.20
,WE LUV LAMA(gamma) x1.2,stamina,dense jumpstream,13,13.00,0.00,0.00
,Reflec Streamz(gamma),speed,low stream,13,13.60,-0.60,0.60
,Break(loved) x1.1,jack,high chordjack,13,13.20,-0.20,0.20
,Sendan Life(OpakyL),jack,dense chordjack,13,13.20,-0.20,0.20
,Unsan-musho,tech,stream tech,12.8,13.20,-0.40,0.40
,Sonesaki Shinju(sp5v2) x0.925,speed,Unsigned,12.7,12.80,-0.10,0.10
,Fastest Crash (gamma),tech,stream tech,12.6,12.60,0.00,0.00
,Shinbatsu o Tadori Kyoukotsu ni Itaru(evening),stamina,dense jumpstream,12.6,12.60,0.00,0.00
,The Truth Never Spoken,jack,mid chordjack,12.6,12.60,0.00,0.00
